"Sales","銷售"
"Please, select Customer Tax Class","Please, select Customer Tax Class"
"Error while saving this set. Set with the same name already exists.","Error while saving this set. Set with the same name already exists."
"Add New Role","Add New Role"
"Discount","Discount"
"Unsubscribe Selected","Unsubscribe Selected"
"Yes/No","Yes/No"
"Edit Email Template","Edit Email Template"
"Visible In","Visible In"
"Manage Blocks","Manage Blocks"
"New Tax Rule","New Tax Rule"
"This block no longer exists","This block no longer exists"
"Delete Attribute","Delete Attribute"
"Decimal","Decimal"
"Edit System Template","Edit System Template"
"Frontend Model","Frontend Model"
"Default Store","Default Store"
"Detailed Rating","Detailed Rating"
"Save And Continue Edit","Save And Continue Edit"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Customer Tax Class","Customer Tax Class"
"Feature Products","Feature Products"
"New Review","New Review"
"Number of Uses","Number of Uses"
"Invalid Answer","Invalid Answer"
"Website Information","Website Information"
"Attribute set with the same name already exists.","Attribute set with the same name already exists."
"Searchable","Searchable"
"Error while saving this role. Please try again later.","Error while saving this role. Please try again later."
"Group was successfully deleted","Group was successfully deleted"
"Order was not changed","Order was not changed"
"Per Item","Per Item"
"Edit Product Attribute","Edit Product Attribute"
"System Properties","System Properties"
"County","County"
"General Information","General Information"
"ex. http://domain.com","ex. http://domain.com"
"Manage Catalog Categories","Manage Catalog Categories"
"Wishlist vs. Regular Order","Wishlist vs. Regular Order"
"New Template","New Template"
"Delete Website","Delete Website"
"All stores","All stores"
"Purchased On","Purchased On"
"Edit Order Status","Edit Order Status"
"Layout","Layout"
"Password Confirmation","Password Confirmation"
"Tag was successfully deleted","Tag was successfully deleted"
"Catalog Searches","Catalog Searches"
"To","To"
"Error while deleting this role. Please try again later.","Error while deleting this role. Please try again later."
"Select All Stores","Select All Stores"
"Offline","Offline"
"Recently Viewed","Recently Viewed"
"Description","Description"
"Tax class was successfully deleted","Tax class was successfully deleted"
"Are you sure?","Are you sure?"
"Never","Never"
"Block Information","Block Information"
"Email","Email"
"Included Customer Groups","Included Customer Groups"
"Disable","Disable"
"Delete Class","Delete Class"
"Poll Information","Poll Information"
"Create Newsletter Template","Create Newsletter Template"
"Coupons","Coupons"
"Customer","Customer"
"Last Review","Last Review"
"Polls","Polls"
"Edit","Edit"
"Country","Country"
"Remove","Remove"
"Account successfully saved","Account successfully saved"
"Days in Wishlist","Days in Wishlist"
"Page was successfully saved","Page was successfully saved"
"Manage Product Sets","Manage Product Sets"
"Review Details","Review Details"
"Add New Rating","Add New Rating"
"for","for"
"You cannot update this attribute","You cannot update this attribute"
"Attribute Code","Attribute Code"
"Add New Set","Add New Set"
"Associated Products","Associated Products"
"Edit Newsletter Template","Edit Newsletter Template"
"There is already a customer registered using this email","There is already a customer registered using this email"
"Processed","Processed"
"Credit Card Type","Credit Card Type"
"Rating isn't Available","Rating isn't Available"
"This tab contains invalid data. Please, solve the problem before saving.","This tab contains invalid data. Please, solve the problem before saving."
"Remove Item","Remove"
"Subscribe to Newsletter","Subscribe to Newsletter"
"Are you sure that you want to delete this template?","Are you sure that you want to delete this template?"
"3 stars","3 stars"
"Order Date: %s","Order Date: %s"
"Number of times wishlists have been shared (emailed): %s","Number of times wishlists have been shared (emailed): %s"
"Double click on a group to rename it","Double click on a group to rename it"
"Total Due","Total Due"
"Gift Certificate","Gift Certificate"
"Assigned Answers","Assigned Answers"
"Fax","Fax"
"Magento Admin","Magento Admin"
"Newsletter Message Preview","Newsletter Message Preview"
"Name on the Card: %s","<strong>Name on the Card:</strong> <span class=""nowrap"">%s</span>"
"4 stars","4 stars"
"Company","Company"
"Invoice Date","Invoice Date"
"Visitors","Visitors"
"5 stars","5 stars"
"Choose Store","Choose Store"
"Import Tax Rates","Import Tax Rates"
"Attribute Name:","Attribute Name:"
"Product In Stores","Product In Stores"
"Option Title:","Option Title:"
"Order Status","Order Status"
"Shipping","Shipping"
"Unassigned Attributes","Unassigned Attributes"
"Sorry, this feature is coming soon...","Sorry, this feature is coming soon..."
"Option","Option"
"Add User to Role","Add User to Role"
"Invoice Status: %s","Invoice Status: %s"
"Magento Commerce - Administrative Panel","Magento Commerce - Administrative Panel"
"Fixed","Fixed"
"Name on the Card","Name on the Card"
"Move Item to:","Move to:"
"Same as Billing Address","Same as Billing Address"
"Are you sure you want to cancel adding of this address?","Are you sure you want to cancel adding of this address?"
"Interface Locale: %s","Interface Locale: %s"
"Apply Coupon Code","Apply Coupon Code"
"Invoice Date: %s","Invoice Date: %s"
"Expiration Date: %s","<strong>Expiration Date:</strong> <span class=""nowrap"">%s</span>"
"per page","per page"
"Add New Class","Add New Class"
"Super product attributes configuration","Super product attributes configuration"
"Magento ver. %s","Magento <strong>ver. %s</strong>"
"Who's Online","Who's Online"
"Previous page","Previous page"
"Something went wrong...","Something went wrong..."
"Lifetime Sales","Lifetime Sales"
"Default Billing Address","Default Billing Address"
"Set root category for this store in the <a href=""%s"">configuration</a>","Set root category for this store in the <a href=""%s"">configuration</a>"
"Set as Default Shipping Address","Set as Default Shipping Address"
" and above."," and above."
"Logged in as %s","Logged in as <strong>%s</strong>"
"Failed","Failed"
"Are you sure that you want to delete this tag?","Are you sure that you want to delete this tag?"
"Option:","Option:"
"Customers that have wishlist: %s%","Customers that have wishlist: %s%"
"Are you sure you want to delete this address?","Are you sure you want to delete this address?"
"Percentage","Percentage"
"Log in to Admin Panel","<em>Log in</em> to Admin Panel"
"Thumbnail","Thumbnail"
"Please enter a new group name","Please enter a new group name"
"Backups Control","Backups Control"
"Add to Queue","Add to Queue"
"Number of items bought from a wishlist: %s","Number of items bought from a wishlist: %s"
"Newsletter Subscribers","Newsletter Subscribers"
"Set as Default Billing Address","Set as Default Billing Address"
"Are you sure you want to delete it?","Are you sure you want to delete it?"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","We're in our typing table, coding away more features for Magento.<br/>Thank you for your patience."
"User Name:","User Name:"
"Order Comment:","Order Comment:"
"Card Verification Number","Card Verification Number"
"&copy; Copyright 2007 Varien. Magento is a trademark of Irubin Consulting Inc","&copy; Copyright 2007 <a href=""http://www.varien.com"" target=""varien-external"">Varien</a>. Magento is a trademark of Irubin Consulting Inc"
"Default Shipping Address","Default Shipping Address"
"Customer Balance","Customer Balance"
"Current Configuration Scope:","Current Configuration Scope:"
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Log Out","Log Out"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Customer has no addresses","Customer has no addresses"
"Comment","Comment"
"Loading...","Loading..."
"Credit Memo Date: %s","Credit Memo Date: %s"
"Price:","Price:"
"Qty To Return","Qty To Return"
"New Customer Address","New Customer Address"
"Export to:","Export to:"
"Images","Images"
"Total Paid","Total Paid"
"Credit Card Number: %s","<strong>Credit Card Number:</strong> <span class=""nowrap"">%s</span>"
"Update Qty","Update Qty"
"Product Categories","Product Categories"
"City","City"
"Items Shipped","Items Shipped"
"Select from existing customer addresses:","Select from existing customer addresses:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Primary Billing Address","Primary Billing Address"
"Order History","Order History"
"Date and Time","Date and Time"
"Street Address","Street Address"
"Are you sure you want to delete this category?","Are you sure you want to delete this category?"
"User Roles","User Roles"
"Answer Title:","Answer Title:"
"Customer Group: %s","<strong>Customer Group:</strong> %s"
"Groups","Groups"
"Are you sure the you want to remove this item?","Are you sure the you want to remove this item?"
"Number of wishlist conversions: %s","Number of wishlist conversions: %s"
"Unable to complete request. Please try again later.","Unable to complete request. Please try again later."
"Global Record Search","Global Record Search"
"Send Comment to the Customer","Send Comment to the Customer"
"Sort Order","Sort Order"
"Please select one or more attributes.","Please select one or more attributes."
"Please add one or more options","Please add one or more options"
"Connect with the Magento Community","Connect with the Magento Community"
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"Add New Tax Rule","Add New Tax Rule"
"Are you sure you want to delete this user from this role?","Are you sure you want to delete this user from this role?"
"Help Us Keep Magento Healthy - Report All Bugs","Help Us Keep Magento Healthy - <a href=""http://www.magentocommerce.com/bug-tracking"" target=""varien_external""><strong>Report All Bugs</strong</a>>"
"Dashboard Control","Dashboard Control"
"Credit Card Number","Credit Card Number"
"Total %d records found","Total <strong>%d</strong> records found"
"Sales Statistics","Sales Statistics"
"Purchase Order Number","Purchase Order Number"
"Average Sale","Average Sale"
"Log into Magento Admin Page","Log into Magento Admin Page"
"Account Created in: %s","<strong>Account Created in:</strong> %s"
"Order Status: %s","Order Status: %s"
"Password:","Password:"
"Personal Information","Personal Information"
"Votes Count:","Votes Count:"
"Next page","Next page"
"(Copy data from: %s)","(Copy data from: %s)"
"Export Tax Rates","Export Tax Rates"
"1 star","1 star"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Add New Template","Add New Template"
"Change Order Status","Change Order Status"
"Credit Card Type: %s","<strong>Credit Card Type:</strong> <span class=""nowrap"">%s</span>"
"Add to Order","Add to Order"
"What is this?","What is this?"
"Invoice Status: Paid","Invoice Status: Paid"
"Customer Addresses","Customer Addresses"
"Purchase Order Number: %s","<strong>Purchase Order Number:</strong> <span class=""nowrap"">%s</span>"
"Expiration Date: %s/%s","Expiration Date: %s/%s"
"Expiration Date","Expiration Date"
"Last Log In: %s (%s)","<strong>Last Log In:</strong> %s (<strong>%s</strong>)"
"Number of wishlists: %s","Number of wishlists: %s"
"Big Image","Big Image"
"Tax Rates Import / Export","Tax Rates Import / Export"
"Magento Logo","Magento Logo"
"A name is required","A name is required"
"images/logo.gif","images/logo.gif"
"Email Address","Email Address"
"Email Preview","Email Preview"
"If you do not specify an option value for a store then the default value will be used.","If you do not specify an option value for a store then the default value will be used."
"of %s pages","of &nbsp;<strong>%s</strong>"
"Account Created on: %s","<strong>Account Created on:</strong> %s"
"Credit Card Number: xxxx-%s","<strong>Credit Card Number:</strong> <span class=""nowrap"">xxxx-%s</span>"
"Haven't been charged yet","Haven't been charged yet"
"Customer Notes","Customer Notes"
"Login","Login"
"Page","Page"
"Add New Address","Add New Address"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Magento &trade; is a registered Trademark of Irubin Consulting Inc. DBA Varien. &copy; Copyright 2007.","Magento &trade; is a registered Trademark of Irubin Consulting Inc. DBA <a href=""http://www.varien.com"" target=""varien_external"">Varien</a>. &copy; Copyright 2007."
"Roles Resources","Roles Resources"
"Manage Titles (Size, Color, etc.)","Manage Titles (Size, Color, etc.)"
"Are you sure that you want to strip tags?","Are you sure that you want to strip tags?"
"Are you sure that you want to remove this item?","Are you sure that you want to remove this item?"
"You cannot remove system attribute from this set.","You cannot remove system attribute from this set."
"This group contains system attributes. Please move system attributes to another group and try again.","This group contains system attributes. Please move system attributes to another group and try again."
"The information in this tab has been changed.","The information in this tab has been changed."
"Number of wishlist referrals: %s","Number of wishlist referrals: %s"
"Today is %s","%s"
"2 stars","2 stars"
